Date: 2026-01-15T09:52:36Z
Duration: 202m 52s

[00:00-00:00] Speaker 0:  Ну как ты?
[82:01-82:03] Speaker 0:  Попробуй сейчас сесть по-другому.
[82:03-82:04] Speaker 0:  Перед еще раз про лечь.
[82:08-82:09] Speaker 0:  Ага, вот так.
[82:09-82:10] Speaker 0:  Итак, обрати внимание.
[82:10-82:13] Speaker 0:  Теперь погрузи себя в состояние, что очень давление прожитым годом.
[82:16-82:18] Speaker 0:  В теле прям нашся расправь плетопечи.
[82:18-82:26] Speaker 0:  Ты Вот, как будто ты покупаешь, будто вкусно, знаешь, что такое состояшь, как у тебя стоят стоит такой хасаша Состояние звучит следующим образом.
[82:26-82:28] Speaker 0:  Андрей очень дабы с вами прогресс в холе за этот год.
[82:29-82:31] Speaker 0:  Ребята, все делаем сейчас то же самое.
[82:32-82:34] Speaker 0:  Семен, понятно, что мы делаем сейчас?
[82:36-82:46] Speaker 0:  Перемести сейчас в 2026 конец декабря к Кабиле и пройден 1 гонвая, то есть этого там начала, да, но на вокале эти праздники, годняки.
[82:46-82:47] Speaker 0:  И состояние звуки так.
[82:47-82:50] Speaker 0:  Значит, Семен очень доволен прогрессом.
[82:50-82:55] Speaker 0:  Своя не плечи, не расправьте, вчера сядьте на кончик, сядь улыбнула, если наш для этого, да? Вот.
[82:55-82:57] Speaker 0:  Голубь вот так чуть-чуть пошел уйти вперед.
[82:57-82:58] Speaker 0:  Чуть назад, в тот центр.
[82:58-83:00] Speaker 0:  То есть цена была центрирована, не завалена.
[83:00-83:03] Speaker 0:  В первом вправо в центр.
[83:02-83:13] Speaker 0:  В поясницу поверьте, что она происогнута и не сжата, а или такое удовольствие от вашей пользы, тренированности, с этого наслаждите вот таким вот процентом состояния, взять, будто вы прям как очень довольны своим проговорцем.
[83:16-83:27] Speaker 0:  Допускай, да что в детваре двадцать один года или конец декабря декабря может быть состояние Блин, айда сукин сын, вот с красава какая красиво укакипал в этом году.
[83:27-83:34] Speaker 0:  Надо же Причем для каждого свой коктейль, который умещается в год.
[83:34-83:36] Speaker 0:  Кто-то за это время в Z2 и сеть реставрации духов откроет.
[83:37-83:39] Speaker 0:  Кто-то за это время на корпорации в рынке новый инструмент.
[83:39-83:58] Speaker 0:  А Сигмед свой то-то количество подписчиков там до подста там до 500 там не знаете в на фоне увеличенных мараф каждого свой масштаб масштаб полностью реалистичный масштаб очень реалистичный очень трезвой очень Только потому, что вы правильно расставили прооритеты для себя адекватно, адекватно поработали над этим.
[83:58-84:03] Speaker 0:  И мы сейчас играем в игру, перетаскиваемся в сценарий, себя я очень добрый действует своим прогрессом.
[84:04-84:08] Speaker 0:  Как примерять на себя, достойную, вкусную нагоду.
[84:07-84:11] Speaker 0:  Андра, Андрей.
[84:11-84:12] Speaker 0:  Как это чувствуется, как теле?
[84:13-84:14] Speaker 0:  Опиши мне, что.
[84:17-84:19] Speaker 8:  Ну, во-первых, никуда не бегу.
[84:19-84:20] Speaker 8:  Я не спокойный с декабря.
[84:22-84:26] Speaker 0:  Не я никуда не бегу два раза в дня, а я, а я.
[84:29-84:30] Speaker 8:  Я все успел.
[84:31-84:34] Speaker 0:  Я все успел. Спасибо.
[84:34-84:41] Speaker 0:  Я иду медленно, спокойно поход в прогулке и сукари. Все верно.
[84:43-84:48] Speaker 8:  Я рассуждаю о том, как продолжил год. Результаты.
[84:49-85:00] Speaker 8:  Например, например, я открыл 4 нового текста, про они все лесут пешили.
[85:00-85:03] Speaker 0:  А открыл четыре новых прошик проекта. Какие?
[85:05-85:09] Speaker 0:  Лаунжбар, ланчбар, лаунжбар.
[85:11-85:20] Speaker 0:  Гастро пекарни, гастро пекарни, ресторан и бар Бар, все пизде, да?
[85:20-85:22] Speaker 0:  Все пили как-то это. Все пизде.
[85:28-85:30] Speaker 0:  Проверяй в теле, проверяй.
[85:30-85:31] Speaker 0:  И вот ты идешь с Майпашкой.
[85:32-85:37] Speaker 0:  Вот и навстречу каша Кочкин Сильни Пашей, то есть со своей супрусной.
[85:37-85:41] Speaker 0:  Я такой пойду и такую такую труду. Крепкий паук.
[85:41-85:42] Speaker 0:  В хорошем настроении явно. Настроение.
[85:42-85:44] Speaker 0:  С девчонкой красивый.
[85:44-85:47] Speaker 0:  Он говорит, подходи ближе и понимаешь, о, Андрей, там ты, а я правильно понимаю?
[85:47-85:50] Speaker 0:  Мы с тобой видео в начале январиста вот вариант.
[85:50-85:53] Speaker 0:  На нашем мастер-майнде общем таком, на нашем предпринимательском пределе.
[85:53-85:56] Speaker 0:  Ты такой, Паша, Паша, очень рад вас видеть.
[85:57-85:59] Speaker 0:  В этом году я очень довольно умным прогрессом.
[85:59-86:01] Speaker 0:  Позвольте угодить вас кофе.
[86:01-86:04] Speaker 0:  Тут есть прекрасный дубайский красный колад, не спешастная любимая из класса.
[86:04-86:08] Speaker 0:  Там меня съела сата. Угощаю. Пощадь вместе. Идем. Вот.
[86:08-86:11] Speaker 0:  Берешь под руку Мариу, я беру под руку Эчку, грубо руку с удовольствием.
[86:11-86:12] Speaker 0:  Слушай, слушаю, как упал дела.
[86:13-86:15] Speaker 0:  Выбираешь какое-нибудь классное местечко.
[86:16-86:19] Speaker 0:  Садимся, нам принимается тараб с прямой кофе, да, типа шоколад, а там что-то еще.
[86:20-86:23] Speaker 0:  Я смотрю, говорю, слушай, Андрюх, вроде бы что, рассказывай. В успехи. Как?
[86:23-86:27] Speaker 0:  Итамий говорит, лучше и пах, шла, шай в старанном бизнесе в России.
[86:28-86:29] Speaker 0:  Четыре нового проекта.
[86:30-86:38] Speaker 0:  успешно, успешно, прямо, безубыточно прям вышли, стартовали, прясили ресторанных глазитиков, откриликовали, а сейчас очень хорошо работает.
[86:38-86:39] Speaker 0:  Там это хороший отбор.
[86:39-86:44] Speaker 0:  Я очень свой я вот осторож, пока потому что только тоже напустили, но каждый из проектов очень хорошо работает.
[86:44-86:51] Speaker 0:  Лаунж-бар, бастропика, гоня, ресторан, ресторана, бар, все четыре проекта мониторы, проект очень люблю, что себя чувствую.
[86:51-86:53] Speaker 0:  Хорошо, продолжай, пожалуйста.
[86:55-86:57] Speaker 0:  Что за этот год произошло?
[86:57-86:59] Speaker 0:  Почему ты очень довольна собой? Какой?
[86:59-87:01] Speaker 0:  Ты что такое сделал за 2020?
[87:04-87:11] Speaker 8:  Наверное, одно и то действие, которым я доволен. Молодец, продолжай.
[87:12-87:13] Speaker 8:  Стой действий, которым я доволен.
[87:15-87:27] Speaker 8:  Окончательно, если нашел нашу нишу, нишу, новую, которую параллельно начал изучить.
[87:28-87:40] Speaker 8:  Я думаю, что это какой-то большой рынок рынок, огромный, в котором мои цели есть занятие от 10 до 20%.
[87:44-87:44] Speaker 8:  Рынок
[87:45-88:02] Speaker 0:  мне должен быть От 1 до 3 триллионов рублей гонки не должен считываться, а в самом рынке от 1 до 3 триллионов рублей. Рынок объема.
[88:02-88:04] Speaker 0:  Это российский объем от одного до рынок объектов.
[88:04-88:05] Speaker 0:  Да, да, да. Российский рынок.
[88:05-88:07] Speaker 0:  1-3 триллиона. Серега.
[88:10-88:19] Speaker 8:  И я придумал ноу-хаус, помощью которого можно будет сделать быстро, скачу, быстро до 10%.
[88:21-88:25] Speaker 0:  Быстрая захват рынка 10% на себя, да? Да, да.
[88:25-88:27] Speaker 0:  Быстрый скачок до 9%.
[88:33-88:36] Speaker 0:  Итак, у тебя пасторных соблядой первая, путя дойная карва.
[88:36-88:37] Speaker 0:  У этого текущий ролл бизнес.
[88:38-88:40] Speaker 0:  Ты держишь на плаву и там все же нечетко.
[88:40-88:41] Speaker 0:  Все еще четыре проекта.
[88:41-88:45] Speaker 0:  Каждый каждый прошли там, не знаю, что будет нормально доктор, мы прошли точку без ладно.
[88:45-88:49] Speaker 0:  Как ты понимаешь, что проекты поймаем хорошие вот твоем ресторан подсветки? Прибыльные.
[88:49-88:51] Speaker 8:  Ну, начали с 30.
[88:54-88:56] Speaker 0:  То есть проекты профильная личность.
[88:58-89:03] Speaker 0:  То есть это будет достаточно хороший результат, проекты прошли выйду на прибыль. Выйден.
[89:04-89:06] Speaker 8:  На прибыль дошли к ярдом месяца.
[89:07-89:09] Speaker 0:  Ага, и каждый месяц прирост, ага.
[89:10-89:11] Speaker 0:  Через год это нормально, да?
[89:13-89:15] Speaker 0:  Ну, полтора, полтора года это значит.
[89:15-89:17] Speaker 0:  Нормальный выхода на нахренную.
[89:19-89:28] Speaker 0:  Мы просто сегодня были в это Ранюбмая, Влодь Перельман, вот если знать, то знаешь, и каждый раз пишу грямкуши.
[89:27-89:40] Speaker 0:  клево высла очень круто у тебя все растет все ребят мы были в нем и если да и у него была это вот моя и минимальные цены я так поражал это не плотная грузка сегодня мы цены просто были огромные Я пропустил момент, как руку он увеличил.
[89:40-89:47] Speaker 0:  Давно, не знаю, разовцали, наверное, то есть у нас нынешний чек на 5 человек составит 25 тысяч руслей.
[89:47-89:53] Speaker 0:  Вот и я так у му куда то есть куда ты волнует, а то есть меня всегда где-то ассоциацию, то есть там было несколько лет пьянелывать эти рестораны, посеченных открывал.
[89:53-90:01] Speaker 0:  Пока да и смотря на это там были еда, и вот эти очень живы, что там от Нямаров где-то помсаловать ее в Арабских Эмиратах, чтобы их завозить, это было очень непудено.
[90:00-90:04] Speaker 0:  Вот просто сегодня зашел и я имя, слушай, ты понимаешь же, надо теперь это совершенно типовой ресторан.
[90:05-90:12] Speaker 0:  Еще когда-то было за это дорого применитый сегмент в реальном вот этом рыбном диапазоне, а теперь это очень дорого в рыбной и норме загрузка нормально.
[90:12-90:17] Speaker 0:  То есть я думаю, он сейчас то, что адекватно зарабатывают, но это теперь совершенно другая мексценка.
[90:17-90:22] Speaker 0:  То есть с тобой сейчас говорим про полпрозагрузку, ну и плавный пуст. Прирост. Конечно.
[90:22-90:26] Speaker 8:  В новых проектах только так, это с тех счастливых просыпающих проектов.
[90:26-90:29] Speaker 0:  Уже можете повышать цены, можно больше работать с уже доходность.
[90:31-90:35] Speaker 0:  Но полтора года работаем на наработную мнение вот этой вот той, чтобы она с талки вышла на полную пол.
[90:36-90:38] Speaker 0:  К этому моменту ты зашел в точку безупрашности.
[90:40-90:45] Speaker 0:  Параллельно нашел направление, в котором ем рынка до 1 триллиона.
[90:47-90:49] Speaker 0:  Но это, кстати, балла часть рынка.
[90:50-90:54] Speaker 0:  Почти любой берем рынок, туризм, например, сиськи, он как раз радится в этом диапазоне и так далее.
[90:55-90:58] Speaker 0:  Все, что угодно, машина, возгодно, все подходят под этот параметр.
[90:59-91:23] Speaker 8:  Я думаю, что это рынок для FMCG за GAC категория от товара, товара, которую можно по абсолютно новому вести на рынок используя несколько свое производство используя марксоссинг и ноу-хаурии продукты и начать массовый начало мужтайворвать обед. Интересно.
[91:23-91:24] Speaker 8:  Да, да, да.
[91:24-91:31] Speaker 8:  Все на чужом производстве основные силы с маркетинг и ноу-хау-хау.
[91:30-91:31] Speaker 8:  интересно
[91:31-91:50] Speaker 0:  низкая себестоимость высокая ценность на продава большая подность тогда которую сканчу маркетинг Ну дай какой-нибудь дальше, что это мой медведь в этом бидже, что титно, например, ну это не должно быть хорошо, это как у телевида, у энергетики, да, который так?
[91:50-91:53] Speaker 8:  За три года сделал 20 миллиардов.
[91:54-92:01] Speaker 8:  Это может быть в категории, например, выполнить, да, есть ли круассанти, сев-дайна.
[92:00-92:15] Speaker 8:  с ностью полновый продукт, который стесняет выйти на сыподобный, для чего она занимает 4 триллиона русский рублей Си, ну, пройти, то есть то, что первымаркер ходит.
[92:14-92:19] Speaker 8:  То есть ложи, где есть всякие какие-то саны, просто сладости разные, шоколад, сираки и так далее.
[92:19-92:23] Speaker 8:  Можно в этой нише, в этой категории достаточно и сильно перевращается в рынок.
[92:23-92:28] Speaker 8:  Потому что все старые уже компании Который сильный меняют ничем.
[92:28-92:31] Speaker 8:  Плюс в России сейчас застой сильный люди.
[92:31-92:33] Speaker 8:  Крупные компании они не копадывают. Марк Флинг.
[92:33-92:36] Speaker 0:  Да, маркер флэнг начинает скорее свораться, чем врач.
[92:37-92:37] Speaker 0:  Да, да, да, да.
[92:38-92:41] Speaker 8:  Сейчас насильно можно и перекручу.
[92:40-92:42] Speaker 8:  перевернуть все это.
[92:42-92:50] Speaker 8:  При этом производство есть, которое либо производили для компании, либо происходит до сих пор производить на их мечтостях, можно создать новый продукт создания. Интересно.
[92:50-92:56] Speaker 0:  У нас были сердисы, здесь основные тонкие печенье, контейнер и так далее в Бонфедерсе в этот нос-крифур вставляется.
[92:56-93:00] Speaker 0:  Мы хотели на производство не поехать, здесь сразу раздал нам все с валови. Произоит.
[93:00-93:05] Speaker 0:  Я так думаю, волос наш бы вы насыпал, может, есть свою производство, какого пятна, знаешь, там покрещения, шоколад и так далее.
[93:05-93:06] Speaker 0:  Да, принято, понятно.
[93:06-93:18] Speaker 0:  То есть ты можешь сейчас простая разница производства, напиши, когда создать пример продуктуем во всем седжеда и закомчить его в рынок, какую Да, и там модно ничего, честное создать типа вот типа энергетика. Понятно.
[93:18-93:22] Speaker 8:  Это гораздо фромбинин. Фромбинин.
[93:25-93:37] Speaker 1:  популярные малины шикарные да и да они у нас здесь подаются да тоже приехал здесь наше время предлагаю след я попросту перехочу потом водить вас каждым попробовать Давай мы теперь пойдем.
[93:37-93:38] Speaker 0:  А давай мы пройдемся.
[93:38-93:39] Speaker 0:  Также Андрей, понятно, о чем речь сейчас?
[93:41-93:46] Speaker 0:  Сформировать внимание телесное, ориентированное на ощущения.
[93:46-93:49] Speaker 0:  Когда Анкай дав дрем с собой вольным прогрессом.
[93:50-93:51] Speaker 0:  Вот и здесь, Ром.
[93:53-93:55] Speaker 0:  Ром, попробуй, пожалуйста, опиши мне.
[93:55-94:01] Speaker 0:  Пожалуйста, сейчас вот ну ты как будем трекать, кто убийц на Кондре. Примите.
[94:02-94:11] Speaker 11:  Насколько в теле, сколько он близок, он близкий к тому ощущению, которое он сформирует раз Сейчас ведь себя через год. Ага.
[94:11-94:16] Speaker 0:  Значит, ага, Ром, у нас примительно три две задачи. Первая задача.
[94:16-94:22] Speaker 0:  Вот это нормально, это действующий работ бизнес, и в нем хорошо с точки зрения через развития ресторанов.
[94:22-94:24] Speaker 0:  Проверяй, пожалуйста, проверить Андрей.
[94:24-94:26] Speaker 0:  То есть 4 точки, 4 высшая на безумность.
[94:26-94:28] Speaker 0:  Вот, он чимальных аккуратно набивает.
[94:28-94:34] Speaker 0:  Вот вторая составляющая для Анча, конкретно Андрей, это новое направление.
[94:34-94:36] Speaker 0:  Скорее всего, FMCG всего.
[94:37-94:54] Speaker 0:  там где можно с высоте морщиной маржой чаще за счет какого-то уникального маркетингового учения решить что-нибудь там что в оборот знаю скамилляр вне с эти и вы не знаю в сети поставщики в ресторан ведь У меня в гарру один из наших знакомых, и выйти взял с рынка, знаешь, с него? Че, Андрей?
[94:58-95:02] Speaker 0:  Вода самая популярная шумопулярия, такая лица, в России назад у нас продается дорого.
[95:03-95:09] Speaker 0:  Вот он сделал кор вот делал вот эти шон царские лица, уподобные и тоды, которые были в ресторан Сегньорке.
[95:09-95:14] Speaker 0:  Вот у него свой ресторан неоснащая пятая Винка, он в Нил и сделал, называемую насантогнальную воду.
[95:19-95:19] Speaker 0:  Во
[95:17-95:34] Speaker 0:  взял и из какого-то из очника из как вот ну чисто короче воды нашел пирамид источник воды Дальше обративник, от начала пасты у меня с вами в ресторан говорит, после кто в ресторан не просит конкретный компитнус.
[95:34-95:36] Speaker 0:  Спрашивает, либо газированный, либо.
[95:36-95:39] Speaker 0:  Ээээ, либо Эээсгазбайп.
[95:39-95:40] Speaker 0:  Да, и все, да.
[95:40-95:43] Speaker 0:  И, соответственно, какую игре на воду по концу.
[95:43-95:44] Speaker 0:  Ну, да, не спрашивает.
[95:44-95:54] Speaker 0:  Он старается вам ресторан, помню, и поменял концепцию На ответного нас от вам американского, чтобы нашу статусу или кого ты чужую прикусную.
[95:54-96:03] Speaker 0:  Прикинь, ударил И в ресторане еще промоутируем на историю выевцы воду на вонскую продвинуть, а цену последняя абсолютно одинаковая, стой, которая клавут снова сразу приравнял.
[96:04-96:30] Speaker 0:  То есть обратите внимание, резко ушивив производство, оставил свою воду американскую вытестил европейские бренды она давил а научим историю на просто этичное чувство из чуваки я путь увы в ресторане Я вам предлагаю условия чуть лучше чуть они, но чем они потому, что вы будете не падать на этом чуть взрыва, потому что у меня логично больше проще, а потому что поперее, короче, вытеснял.
[96:30-96:34] Speaker 0:  Вот потому что короче ну что шинская вода удар.
[96:34-96:36] Speaker 0:  То есть мы сейчас примерно вот о таком приводе красиво.
[96:36-96:37] Speaker 0:  Ну хоть говорим, шепом, да.
[96:37-96:43] Speaker 0:  Пусть, короче, какой редуструмент, который Тинс войдет в рынка, так понятно ли замандача, над чем задачи сейчас работает?
[96:44-96:51] Speaker 11:  Да История о том, как рыбкий в Америке вытеснил берег французскую волну на патриотических домах чувствах асхиганцев.
[96:52-96:53] Speaker 0:  Ну, грубо говоря, да.
[96:53-96:59] Speaker 0:  Погово Андрей придумал совсем какую-то форму свою, вот к тому, что он найдет тут в большинстве рынке и займем рынком 10%.
[97:00-97:03] Speaker 11:  У меня есть такая немножко, ребят, такая сказка.
[97:03-97:15] Speaker 11:  Я же вот не первую диагностику наблюдаю и смотрел, если вообще, ну Пашину и применяя на Б, виде на клесебетах, вот Елен же большой, кстати, Паша, к тебе вопрос.
[97:15-97:19] Speaker 11:  Елки большой соб, я же обязан план набрать себя наврать через губ.
[97:21-97:38] Speaker 11:  что ты готов на это работать и у тебя знаете как у меня радиомарк на отчет был ваш как перепроверить что я реально заэрел эту вот к тебе так вопрос свою версию Как перепроверить, что я тебе за эту я задачу, как ты че готов рабгрижить? Работать.
[97:39-97:44] Speaker 0:  На сегодняшний день набросок верх 1-0 на селесных ощущенияте.
[97:43-97:47] Speaker 0:  Вообще, как себя чувствует, данный шоу, если учу две задачи решили, первое.
[97:47-97:58] Speaker 0:  Это первое по бизнесу Дуэнакоу работает хорошо, второе, что и ты параллельно искал, раз направлений и прощение, да, в полной степени детей имеешь лизать, где ты можешь.
[97:58-98:01] Speaker 0:  С помощью ноу-хаущем идти на зайд. Достаточно объем.
[98:02-98:03] Speaker 0:  Что в этот момент?
[98:04-98:05] Speaker 0:  Я доволен со мной.
[98:06-98:07] Speaker 0:  Да, да, с собой доволен.
[98:08-98:11] Speaker 0:  Рано же отвечаю на вопрос, Канада, и проверить как операционно.
[98:11-98:13] Speaker 0:  В починге это называется поучить контракт.
[98:14-98:17] Speaker 0:  То есть, возможно, Андрей Запазнуто откажется от автор идеи.
[98:16-98:26] Speaker 0:  Мы-то еще будем смотреть дальше его вовлечения морениев, телевидение талантов, тогда будем происходить, как вот этот дыркурца доберем, вот мы можем там два лимон разные воздух переработаться.
[98:26-98:44] Speaker 0:  То есть хипиранно сегодняшний факт - это день оброса, где мы обязательно натроем То есть мы хватаемся из этого неподконечного вера делать, то есть запросто сможем потом воздух рябуться. Хорошо. Да.
[98:45-98:49] Speaker 1:  Предлагаю, я прям по очереди, где средующие дня, вот пятым.
[98:49-98:58] Speaker 1:  Я через округ пройтись и переход к следующему. Пройти просто. Хорошо. Харак. Кто готов? Да, прошу. Ага. Прошу.
[98:59-99:03] Speaker 11:  Да у меня просто на важном моем саунде сдохли на уменьшите, я поменял пушник.
[99:03-99:08] Speaker 11:  Я можно свой свой вам подскажу.
[99:08-99:10] Speaker 11:  Паша, от меня скорректирует, ты меня не прав.
[99:10-99:17] Speaker 11:  Если это же вопрос про говнопротение, находиние или намерение или намерение.
[99:15-99:21] Speaker 11:  Так, прям через ГГ проформулирование вот этого Vision of Sources, как на сверение. Намерение.
[99:21-99:31] Speaker 11:  Я для себя просто искал жизни, когда я чувствовал задача сейчас на этой сессии, ясно чувствую, что и по мере не говорит на местения. Вопрос следующий.
[99:32-99:37] Speaker 11:  Ради чего радио, ради вот, довольно собой, я сейчас хорошо чувствую все ощущение в теле.
[99:37-99:38] Speaker 11:  Да, я туда предн<unk>сся.
[99:39-99:42] Speaker 11:  Ради этого нора цели готов ли я на то ошибки?
[99:42-99:55] Speaker 11:  Наши и переживать их переготов лись да преялить преподатствия они точно будут где я готов что допустим самый Отложенный, от гарантированных результат.
[99:55-100:05] Speaker 11:  Настолько вот эта точка, которую высиков прописали себе прописали, она настолько лисистальна, что вы, например, готовы к РГУ, что там мучиться не с полутора раза.
[100:08-100:18] Speaker 0:  Андрей, как ты оцениваешь, как уровень своей умности рискал дополнительную стола, но двинуться вперед, с там к обезине в крови в туалет, а вот ну лайк туда сюда.
[100:19-100:21] Speaker 0:  Я всю жизнь предложил.
[100:23-100:25] Speaker 0:  Хорошо, спасибо, да, за роман внимание.
[100:26-100:27] Speaker 0:  Так, спасибо, да? Спасибо.
[100:27-100:27] Speaker 0:  Так, Артем.
[100:28-100:29] Speaker 0:  Арт<unk>м, хорошо.
[100:31-100:42] Speaker 3:  Так, я отвечаю на вопрос Романа, но правда скажу, что я насколько готов только своей видение, что я у нее 4 года иду туда.
[100:42-100:51] Speaker 3:  Типа прям пруд прям изо всю до сил тех и отклик в течу с телефоном значат на вопрос от его хочу первый.
[100:51-100:51] Speaker 0:  Артема
[100:51-101:04] Speaker 3:  через игрушку Главная задача, которая поставит, друзья, что я хочу освоить этот гарб Лутатский метод, когда адрес на навигаторе всю плюс цвет фара.
[101:07-101:11] Speaker 3:  Внудать себя крутить связь моих трех бильных алксиментов.
[101:14-101:16] Speaker 0:  Да, математика, математика писать страшную литературу.
[101:17-101:26] Speaker 3:  Я уже знаю, что я могу, а я уже вс<unk> о марафоне свое тоже изучение, какая где сто слове.
[101:26-101:30] Speaker 3:  Уже эту свиделку процента на пятьдесят медал.
[101:31-101:33] Speaker 3:  Я получил для Сила такой кребясный марафат.
[101:33-101:35] Speaker 3:  Я от него не помню, вероятно, к небераю.
[101:35-101:38] Speaker 3:  Я просто не фу Даже слово невероятно слово.
[101:38-101:40] Speaker 3:  Я от него очень сильно кайфтил.
[101:43-101:46] Speaker 3:  Я чувствую, что мучу по.
[101:47-101:56] Speaker 3:  Соединенству вот эти три таланта и буду создать несколько курсов, от которых наду кайфовуть, вот как бы соединяя эти три руки все.
[101:57-101:57] Speaker 3:  Я чувствую себя.
[101:58-102:00] Speaker 0:  Красота, Атака, я тебя смотрю, я верю.
[102:02-102:02] Speaker 0:  То есть твоя-то?
[102:02-102:04] Speaker 0:  КБ точка Роман понял.
[102:04-102:06] Speaker 0:  А ну кудня смотрит, Артем. Да, свой.
[102:06-102:10] Speaker 0:  Мне очень понятно, тоже я хорошо снимаю, чувствую. Спасибо, Артем. Спасибо. Очень глубоко.
[102:11-102:12] Speaker 3:  Так, ну, могу это.
[102:12-102:17] Speaker 3:  А могу это еще один коменток назад?
[102:17-102:23] Speaker 0:  Можно убедись, сейчас ты хорошо чувствуешь вот этот чувство рис, а спроектировал из Ч<unk>ма.
[102:24-102:24] Speaker 3:  Да, Арт<unk>ма.
[102:25-102:27] Speaker 0:  Ему метрики, понимай какие. Давай.
[102:26-102:42] Speaker 3:  А метрики, метрики, здесь, конечно, вопрос меня бе, но всегда так, что под сот человек на этот мораль приходит в фонд, который я создал тоже И я и десять процентов этих отца Мах ведь конвертил густ на следующий уровень. Это учился.
[102:42-102:44] Speaker 0:  В чем потерял Арт сейчас? Обратите внимание.
[102:44-102:46] Speaker 0:  Я всегда спрашиваю, кажется, в чем себя чувствую?
[102:46-102:49] Speaker 0:  А карта ты мне ученые? Досказывайся. Ага.
[102:51-102:55] Speaker 3:  Тогда почувствовал все, что сказал я сказал. Все сказал.
[102:55-102:56] Speaker 0:  Све, вот именно в игре Гаррусский метр.
[102:56-102:59] Speaker 0:  В этом не в тех цифрах, которые с этим стоят.
[103:00-103:01] Speaker 0:  А в чем постоянно питание Артер веряет?
[103:01-103:05] Speaker 0:  А перепровод и в теле материала заниматывает, короче, глядя ищет вот эти ячения.
[103:05-103:08] Speaker 0:  Адащущего навигатора или сюда Артем и Этком?
[103:09-103:15] Speaker 3:  Понял, я есть я, я тут чувствую.
[103:15-103:17] Speaker 3:  Это и есть тот самый гад.
[103:17-103:20] Speaker 0:  Правильно, для человека, как человек.
[103:20-103:23] Speaker 0:  Ты это о я и сложно осознание, потому что словно осознать даже непосадлемо.
[103:23-103:26] Speaker 0:  При тобой создал но чувствовал слово едва.
[103:26-103:28] Speaker 0:  Это означает, что писание, расположение тени.
[103:28-103:29] Speaker 0:  Вот что я сейчас делал с Андреем.
[103:29-103:30] Speaker 0:  Я говорю, дело опять поудобнее.
[103:31-103:32] Speaker 0:  В Дубае мы с тобой идем.
[103:32-103:33] Speaker 0:  Ай раем, ты дал им два с собой.
[103:33-103:39] Speaker 0:  Коли он проверяй, а он перемен оно, но не переспрашиваешь, я уж теле, чтобы он убедился, что он убил, но готов риска делать.
[103:39-103:41] Speaker 0:  Обрати внимание, ради метры не ради на соло.
[103:42-103:42] Speaker 0:  Они никак не..
[103:42-103:44] Speaker 0:  Они на принятие реле.
[103:44-103:50] Speaker 0:  На причем тебе чернигами найдут, ну ты же помнишь, да, интеллект занимает роль в принятой постоянности, вообще не меня интересует.
[103:50-103:59] Speaker 0:  Поэтому надо был математик с программистом, про мифи, физика, там гарсти делать предстоит нижнюю чаю этого Айстисберга, ай, который принимает решение, а это три что означает?
[104:00-104:06] Speaker 0:  Чешетство, чудо, эмоции, ощущения, куда вектор. Понял.
[104:06-104:14] Speaker 3:  Понял, дай мне три секунды, дай мне, пожалуйста.
[104:16-104:19] Speaker 11:  Пока, Арт<unk>м, давай, я еще думаю, интерпретирую чуть-чуть.
[104:19-104:23] Speaker 11:  За вашими метриками, метод и цифрами в бизнес стоите высис.
[104:24-104:34] Speaker 11:  То есть, если это деньги, тогда деньги не врите сильны, сколько тебе ты получаешь случайтой деятельности, если будет, а есть та же сумма, которую ты за модсот себе допинушь.
[104:33-104:38] Speaker 11:  Думаю, то за 150 человек будешь недовольным собой болен.
[104:38-104:40] Speaker 11:  Но денег в раз больше.
[104:41-104:44] Speaker 11:  А если будет от любой работы вьем в 3 раза в больше?
[104:44-104:56] Speaker 11:  больше будешь довольны тобой ты сейчас хочешь больше охотать или мира больше работать меньше смотри арт<unk>м наш делает рама сейчас мы с тобой с тобой артем даем Амакон в это за не попадает, составляем адкость.
[104:56-104:58] Speaker 0:  В этом еппе выкинуть промоизичный бизнес-план.
[104:58-105:00] Speaker 0:  У тебя сейчас цифры пятая сот, десять сот и так далее.
[105:00-105:02] Speaker 0:  Есть то может вообще А это совершенно иначе.
[105:02-105:05] Speaker 0:  Честно мы это Артема можем получить совершенно иначе.
[105:07-105:13] Speaker 3:  Тогда я чувствую ради аж дома, который Артема описал, я готов идти вперед вперед.
[105:13-105:15] Speaker 0:  Именно такая форма.
[105:15-105:19] Speaker 0:  Именно и в Тиров. Спасибо большое.
[105:19-105:26] Speaker 0:  Так, ребята, устаетесь сейчас вот этой внимание завистью к деталям, что это не цифровой, не сказатель, пока Игорь, ты.
[105:26-105:28] Speaker 0:  И как это воспринимать вообще сейчас? Понимаешь?
[105:29-105:31] Speaker 0:  Да, мне принять, да, понятно, отдельно.
[105:32-105:39] Speaker 0:  Обратите внимание, слово деть понятно, понятно, аккуратно, парни, особо те, кто вот особенности там в цепь бизнес заменяем слово.
[105:39-105:43] Speaker 0:  У нас Игорь, какая альтернатива, какая слово понятно вместо слова?
[105:48-105:49] Speaker 0:  Мне
[105:49-105:58] Speaker 0:  близко это Мне это близко, мне чувство, или я, или я прям в этом телесная, то есть реакция.
[105:59-106:02] Speaker 0:  Значит, Игорь, те внимание. Механика какая?
[106:02-106:04] Speaker 0:  Рассказывает в ней равнокорпоративном своем мире.
[106:04-106:06] Speaker 0:  То есть это ориентированная история.
