Date: 2025-12-29T21:14:25Z
Duration: 159m 1s

[01:01-01:04] Ivan Belyankin:  Вроде все запустилось.
[81:27-81:28] Анастасия:  Нет, нет, правда, не принес.
[81:29-81:31] Павел Кочкин:  Но давай еще раз, смотри, сначала.
[81:31-81:38] Анастасия:  Мне не хватает ресурса какого-то, чтобы Сейчас еще дальше.
[81:38-81:41] Павел Кочкин:  Как же прости по голосу? Настя. Настя.
[81:41-81:43] Павел Кочкин:  Значит, Настенька, смотри, какая механика.
[81:43-81:46] Павел Кочкин:  Таня, значит, заменяешь заминирование.
[81:46-81:48] Павел Кочкин:  Типа мы хотели врать в Антию поехать, если получилось.
[81:48-81:50] Павел Кочкин:  Мы не хотели вот это, мы хотели бы не получалось.
[81:50-81:56] Павел Кочкин:  Значит, обрати внимание, сопроектируешь про поезд не в Россию. Настю.
[81:58-81:59] Павел Кочкин:  Как ты понимаешь, как термин?
[81:59-82:01] Павел Кочкин:  Как это вообще Настю проектировать?
[82:07-82:08] Павел Кочкин:  Ну-ка попробуй.
[82:09-82:10] Павел Кочкин:  Что это означает, Настю сочектировать?
[82:13-82:15] Анастасия:  Не, я понимаю, прошло ты.
[82:15-82:20] Анастасия:  но вот я понимаю, что я не могу поесть, я не селедь понимаешь, вот кем мне ее взять, где селед.
[82:20-82:21] Анастасия:  И у меня расстройся.
[82:21-82:24] Анастасия:  Ладно, пал, пал, найди вообще по часу вариантов. Полнуть.
[82:24-82:39] Павел Кочкин:  Я когда убегал, у нас было в той же местах может идти ярмарку снайди где короче селедку продает у а еще если я дам контракт нины так наш повар на она вот некоторых так же ребята сейчас еще будет анализ и она делает селед есть вообще вот такую Из сардина, я понимаю.
[82:39-82:41] Павел Кочкин:  Да, да, из сардин, да, из сардина, да.
[82:42-82:43] Анастасия:  Ага, да, ага. Хорошо.
[82:44-82:46] Павел Кочкин:  И черный хлеб, одинский собак.
[82:46-82:49] Павел Кочкин:  Вот с этим Да, да, я же делаю.
[82:49-82:51] Павел Кочкин:  Не только она, полно решений.
[82:51-82:52] Павел Кочкин:  Да хорош, ничего.
[82:53-82:57] Павел Кочкин:  Приходи, ходи к нам, привозим и там бледка угасим.
[82:57-82:59] Павел Кочкин:  Степан Егоризм, пожалуйста, ты говорю, давай.
[82:59-83:01] Павел Кочкин:  Коровы Игорь, тортея Витер, град.
[83:01-83:03] Павел Кочкин:  Привет, привет, как роды.
[83:06-83:08] Павел Кочкин:  Так, Настя, Настя, Настя еще раз.
[83:09-83:11] Павел Кочкин:  Значит, по твою проблему сразу спромаем.
[83:11-83:20] Павел Кочкин:  Обратите внимание, протестируешь на рейсю на Настя, например, Настя путь предшественничается, Настя или там, ну вот какая Настя Кача.
[83:20-83:23] Павел Кочкин:  И обрати внимание вот Настя Шаня в Москве, то в..
[83:22-83:25] Павел Кочкин:  Будет смотреть на то, лиц не хватает стулетки, да?
[83:25-83:27] Павел Кочкин:  Вот только будет хватать, например, не хлонца, им с моря.
[83:27-83:31] Павел Кочкин:  Понимаешь, мы будем там и так учиться, типа, твое кайф, где море смайли. Солнце.
[83:32-83:47] Павел Кочкин:  Б где тут погода идеальная, косивая, храсная вот а боиносэрс надо будет смотреть и все на так а тут нет летки такси обрати внимание другая конец трубция там сейчас у насти красный маркер в кругах нам надо напроектировать которая что Зеленый маркер.
[83:47-83:48] Павел Кочкин:  Вот там подсказка стоянная.
[83:51-83:53] Павел Кочкин:  Со стороны все очень рано, очевидно.
[83:53-83:53] Павел Кочкин:  Итак,
[83:53-84:06] Павел Кочкин:  обратимся, если мы назьем чуток почистим, что и заменем внутри намерения красной маркастик зеленый, то ангельный бунсар и все на что будет смотреть на что смотреть хорошую по входу.
[84:09-84:14] Павел Кочкин:  На Дениса Диеля, конечно, до хрена всего прикольного, по нему.
[84:14-84:19] Павел Кочкин:  А как только в Москву прокодит, будет и обожать летку в односильда с черным шлебом.
[84:20-84:28] Павел Кочкин:  Намазывать, ну так бутерброд, и ходить, чихану и там это шатыкся, запашивать и хер далее.
[84:28-84:32] Павел Кочкин:  Вот и понимаешь, что когда в Москву приезжаешь, будешь в Москву наслаждаться.
[84:32-84:34] Павел Кочкин:  Будста царь, если вышка называется бойносифоса.
[84:34-84:40] Павел Кочкин:  Чинд, надо не бой на перс и расстрасает у планов. А круто? Кого? Конечно.
[84:42-84:41] Павел Кочкин:  Бо Навык управления вниманием.
[84:42-84:55] Павел Кочкин:  Если ты покачаешь навык управления внимание, могу начнешь любить нельзя и сидеть ближним, любить дальнего, да, любой на старой секунду даже клевый вот И когда у тебя изменятся планы, то купрос будет никого не расстраиваться.
[84:55-85:01] Павел Кочкин:  А с учетом насухо обстоятельства новость, то прикольно, что мне эти новые подводные даю.
[85:04-85:08] Павел Кочкин:  Обратите внимание, как я щела сместил в описание этого внимания. Да.
[85:09-85:13] Павел Кочкин:  Дай обратную связь по своими словами. Где разгадка? Где разгадка?
[85:16-85:25] Анастасия:  Ну, разгадка в том, чтобы, наверное, есть какие-то возможности, а не там чего-нибудь плохого история или нет. Молодец. Спасибо, большой.
[85:26-85:28] Павел Кочкин:  Разгадка в том, что у нас ключик.
[85:29-85:35] Павел Кочкин:  В боино-серсе или не хватает себя ключик у Насти, а не у Буэнос-Арса.
[85:36-85:41] Павел Кочкин:  Когда ты пойдешь и в новую нишу, или в нишкий бизнес, новый, или к новому человеку, проблема не в нем.
[85:42-85:48] Павел Кочкин:  А в зре и твоем, то не так ты смысл смотришь. Угу.
[85:48-85:50] Анастасия:  Хорошо, па.
[85:51-85:54] Павел Кочкин:  Полегче, Насти как? Да, полегче.
[85:54-85:55] Анастасия:  Так все-таки почему уехать?
[85:55-85:56] Анастасия:  Интересно, я очень интересно.
[85:57-86:00] Павел Кочкин:  Слушай, ну потому что, ну и мы молодцы.
[85:59-86:00] Павел Кочкин:  Но мы состояли красавцы.
[86:01-86:09] Павел Кочкин:  Мы из России поехали в гипсерес, не бойся того, что было полупродо, а мы захотели дополнительную жизнь, жизнь, гибкость, макорость, укрытость раз детей.
[86:10-86:12] Павел Кочкин:  Вот мы в документе, чтобы быть свободнее.
[86:12-86:16] Павел Кочкин:  Мы хотели прямо нашу альтернативную жизнь, загрузим, короче, вот суды под куда-то в талу тело.
[86:16-86:24] Павел Кочкин:  С момента, когда мы стали аргардинцами, Жил испаньор, паблиш, ну все, то есть я загрузился все, что я хотел.
[86:25-86:27] Павел Кочкин:  С этого момента моментки так работает.
[86:27-86:28] Павел Кочкин:  Какой наш следующий этап?
[86:28-86:31] Павел Кочкин:  И целый год мы смогли понять, не мог что делать дальше.
[86:31-86:33] Павел Кочкин:  Потому что мы можем еще позволить любую сепошку на планете.
[86:34-86:41] Павел Кочкин:  Вот, мы начали Америка, Англия, Австралия, там, какая-нибудь Левая Зеландия, с Новоулумпурска, Кугапур, Синдвивко-старик, куча уехали в Куниман жить.
[86:42-86:43] Павел Кочкин:  Вы такие типа, окей, куда дать? Боги.
[86:44-86:48] Павел Кочкин:  Насмотрели, смотри, смотрели, смотреть мы, Платинская, аты забрали обмен повно все, что рукотели.
[86:48-86:49] Павел Кочкин:  Мы,
[86:49-86:54] Павел Кочкин:  Бразилии, вдоль попили, в раскалесии, веревку Мы бы в Чили в пыли ру, там врупьев в Парагвай, бы опять раз.
[86:54-87:00] Павел Кочкин:  То есть мы наконец-таки можем себе сказать, что мы значит Эти, вот кровь латина, эту Камскую обошли.
[87:00-87:04] Павел Кочкин:  Нам жаль, очень нравится, потом вот мы сам достаточно И мы хотели следующий этап.
[87:05-87:08] Павел Кочкин:  Вот мы думали, что в Америку поедешь, но Америку видел, да, там ты творится.
[87:08-87:11] Павел Кочкин:  И мы в какой-то момент такие надо сначала идти в известку.
[87:11-87:14] Павел Кочкин:  Нам не дали, а думаю, такие, ну хизу с вами, тогда венч не в Америку.
[87:14-87:18] Павел Кочкин:  Вот и долго думали, куда пойду духать Ехал в Австралию, воробли, в Лондон, еще куда-то.
[87:18-87:19] Павел Кочкин:  Ну да, потом подумали, ну прочее.
[87:19-87:21] Павел Кочкин:  Везде, как будто начинаем опять.
[87:21-87:43] Павел Кочкин:  Очень хочется приехать сейчас, пред, знаешь, попробовать вот на промол, приземнулся Поэтому вот мы вот сейчас в России просто среди всех возможностей удивительно мы посчитали что-то нам те, что носы, которые мы по-моему в России данным с учетом не правда от этой астросферы, вот они на цене Бабушки, дедушки, друзья, там, знаешь, вот нам, там, ну, вот такая энергия, контента.
[87:43-87:48] Павел Кочкин:  Мы ради бота вернулись и не поняли, и это сейчас наш вкусный решан, который мы могли снять.
[87:48-88:07] Павел Кочкин:  себе подарить но сложно но можно среди всего большой мы вот его убираем его у спасибо да пожалуйста так денис пожалуйста пожалуйста идем дальше награды Еще раз здравствуйте, раз.
[88:07-88:12] Евгений Виноградов:  Мучает один вопрос и пользуясь возможностью, спросить.
[88:12-88:14] Евгений Виноградов:  Спрашиваю этот вопрос.
[88:14-88:23] Евгений Виноградов:  просто от себя лично, как человек, как человек ставит на ополчение определенных финансовых целей, свое получение денег для линия пользователя.
[88:23-88:33] Евгений Виноградов:  И этот же вопрос уже стоит рост зрения у противенца Финтировой компании, где очень много заучано на прибыли, по профиту.
[88:34-88:35] Евгений Виноградов:  И вопрос следующий.
[88:38-88:43] Евгений Виноградов:  В цели понимания ранее, что ставить туалет на действии нельзя.
[88:42-88:45] Евгений Виноградов:  Не так как это инструмент, это стресс.
[88:45-88:52] Евгений Виноградов:  Если утверждение этого верно, как можно обойти мозгу лично и для человека, и лично для уконоденцев финтерампании.
[88:52-88:54] Павел Кочкин:  Молодец, очень кракоделого.
[88:54-88:58] Павел Кочкин:  Так, обратим внимание, а мимо отруждения Виа уна более первом критически атавостно.
[88:59-89:03] Павел Кочкин:  Погугли потоковой системы и считает, что происходит, если человек ставит финансовую цель.
[89:03-89:05] Павел Кочкин:  И ты очень правильно прокомментировал сразу.
[89:06-89:08] Павел Кочкин:  Это это это такое средство.
[89:08-89:11] Павел Кочкин:  То есть это не является конечной станцией промежуточным целесом. Показатель показывает.
[89:11-89:12] Павел Кочкин:  То есть это сразу ошибка.
[89:13-89:15] Павел Кочкин:  Больше того, погуглит, кто такие горе-мили таке.
[89:15-89:16] Павел Кочкин:  Знаешь, я не лишь нет.
[89:18-89:19] Евгений Виноградов:  Нет, наверное, нет.
[89:19-89:20] Павел Кочкин:  Значит, топ это очень слабно.
[89:20-89:25] Павел Кочкин:  И следующий, люди, которые хотели идти как денег иди, они ставили ценницы.
[89:26-89:33] Павел Кочкин:  Я миллиарду долларов и он, и вы мне не рассказываете ж не расхрень, то так я дайте чего вымнанс деньгами. Там щаместе. Счастья.
[89:34-89:40] Павел Кочкин:  А дальше этот анекдот про этого, как там, по Бога, который говорит, про буты хоть лотерей, ну нет, то купи, не белье купи.
[89:40-89:43] Павел Кочкин:  Вот есть исследования, которые купят людей те лотерейные.
[89:43-89:47] Павел Кочкин:  И внимание, выиграли долларов и более миллионов более.
[89:47-89:50] Павел Кочкин:  финансовых чистой показало по чемоданам в руки.
[89:51-89:55] Павел Кочкин:  У меня к тебе вопрос, Евгений, как хобрану специалист, хороший финансист, с нормальным лотональному умцам.
[89:55-89:57] Павел Кочкин:  Давай так из двадцати человек из исследования.
[89:57-89:58] Павел Кочкин:  Как ты вы думаешь, что с ним как лучше происходило?
[90:02-90:08] Евгений Виноградов:  Все закрыли базовые потребности и далее или капитал увесился в собственном времени.
[90:08-90:09] Павел Кочкин:  Ну не спустится, а просрадился.
[90:09-90:11] Павел Кочкин:  Вот но будем платеж с вами называть.
[90:11-90:18] Павел Кочкин:  Более того, так поступили только одна фигура, двое потокней, которые мотоклые отсементировали.
[90:19-90:20] Павел Кочкин:  Вот они просыпали все бабки.
[90:20-90:23] Павел Кочкин:  И вернулись и надо ремонтировать назад цикла.
[90:23-90:23] Павел Кочкин:  Вот на плотно пор.
[90:23-90:33] Павел Кочкин:  А вот остальные стены не просто просрали рубашки резку ухаживали свои поисков из до тюрьмы наркотиков и совкупийства.
[90:34-90:35] Павел Кочкин:  Вопрос, что происходит?
[90:41-90:46] Евгений Виноградов:  Их взгляды соответствуют реальности то ли.
[90:47-90:51] Павел Кочкин:  Но ответ в твоем вопросе на воль, ты очень четко все поучитал.
[90:52-90:55] Павел Кочкин:  Не деньги являются вот этим этим одну боссом.
[90:56-91:01] Павел Кочкин:  Они как бы получают бешеный ресурс рисуют.
[91:00-91:03] Павел Кочкин:  Того главного, что ты сегодня спроснял, ведь ты же сейчас я спросил.
[91:04-91:06] Павел Кочкин:  Целеполагание машина финансово какая-то нефилемная штука.
[91:07-91:09] Евгений Виноградов:  Что промежуток для ресурса?
[91:09-91:10] Павел Кочкин:  Почему это не есть аннелеполагание?
[91:11-91:14] Павел Кочкин:  Некий кофет какой-то цель Вот, ты абсолютно прав.
[91:14-91:16] Павел Кочкин:  То есть здесь вот этот коэффициент мы выручиваем на максимум тумак.
[91:16-91:19] Павел Кочкин:  Соседнего эффекциента не вот этой еберности переработки приняли.
[91:19-91:21] Павел Кочкин:  Вот я там, да, и земление этого призвала.
[91:21-91:23] Павел Кочкин:  То все, копел, короче.
[91:24-91:32] Павел Кочкин:  Причем не просто вот эти рассказывают, я посмотри, более того, мной знают аудитории, и когда вы в тюрьму сразу реют на благотворительной из таких полных решений.
[91:33-91:35] Павел Кочкин:  И, мягко говоря, это не самый плохой вариант.
[91:35-91:36] Павел Кочкин:  Ты же понимаешь.
[91:37-91:43] Павел Кочкин:  Тем самым часть людей просто себя скипчет оттолпать, что вот-нут от этого результата, который мы с тобой знаем.
[91:43-91:48] Павел Кочкин:  Это надо счастливчик на быть один из команд из сети, чтобы просто прогулять по бабке и вернуться назад на функциональной работе.
[91:48-91:49] Павел Кочкин:  Это же очень непросто.
[91:51-91:53] Павел Кочкин:  Теперь я хочу на твой вопрос и вопрос.
[91:53-91:54] Павел Кочкин:  А что делать тогда с этим?
[91:56-92:05] Евгений Виноградов:  Ну, есть предложение поставить цели с те возможности, которые можно даст этот ребурс получать суммы, в виде. Немножко не.
[92:05-92:18] Павел Кочкин:  сначала начала напрашивало за награду а под это под это придет ресурс да продумывай как ты про нансовый или все другой ресурс ты любо тянешь С начала срада.
[92:18-92:19] Павел Кочкин:  По ногу своими словами. Попробуем.
[92:19-92:20] Павел Кочкин:  Это просто битус семи.
[92:20-92:21] Павел Кочкин:  Это как к гению действия.
[92:22-92:23] Павел Кочкин:  Отдельно про сейчас всех поговорим.
[92:24-92:27] Павел Кочкин:  Так, гению, как типполагание сделаем.
[92:27-92:36] Павел Кочкин:  Это сначала я с гений евнатильный оленческим уровни, не финансово-цифронным правом, продумают нахера ему в набло, но был пример.
[92:36-92:40] Павел Кочкин:  Я в плечо прожираю, говорю, на алкость нормальной же я вам здесь антолопость и физик.
[92:40-92:41] Павел Кочкин:  А задолбался резный дом.
[92:41-92:43] Павел Кочкин:  Я говорю, постарый новый посмотрим. Пойдем.
[92:43-92:55] Павел Кочкин:  И пойдем в соседнее мы там, где стоит район не 300 тысяч долларов или тысячи тысячи долларов, четыре, а вой в варианте Заходим туда, и там наверху наверху целый этаж, так извлекатель раз, где опадные аты игровые стоят.
[92:55-92:56] Павел Кочкин:  Соседи, стом у нас венца недопусе.
[92:56-92:59] Павел Кочкин:  Я Илюх толкаю и говорю ты что, хочешь крысную кухню приехать?
[92:59-93:05] Павел Кочкин:  Мне на этот м дом зарабатывать Она на меня смотрит и говорит, щедро говоря, нет, если ему хрень, по-моему, это какая-то.
[93:05-93:08] Павел Кочкин:  Платье в 3 разыбортителей будет у нас в автомат. На игроху. Да, Бевро.
[93:08-93:11] Павел Кочкин:  Чуть побольше, короче, больше, но честно, но по-моему ей говорят какая-то.
[93:12-93:16] Павел Кочкин:  Я делаю И мы в следующий долг идем встретить посмотрел следующий способ.
[93:16-93:21] Павел Кочкин:  Если мы нашли тот недолго, в который придужать, я дальше, то я сколько денег работаю?
[93:26-93:27] Евгений Виноградов:  На новый дом?
[93:28-93:30] Павел Кочкин:  Сколько же с ней раньше? Сколько?
[93:31-93:34] Павел Кочкин:  Правильно, Андрей, правильно. Только же.
[93:34-93:35] Павел Кочкин:  Теперь дальше обратите внимание.
[93:35-93:37] Павел Кочкин:  Мы искали, далее искали спискающие адресы.
[93:37-93:39] Павел Кочкин:  Давай-ка в России гибридем.
[93:39-93:42] Павел Кочкин:  Приезжаем в Россию, а тут все три раза, дару. Три раза.
[93:42-93:43] Павел Кочкин:  Тут часто полз знаешь, сколько, Сашка?
[93:44-93:48] Павел Кочкин:  Квартира, в которой я нахожусь, то еще остается столько, а на кому мы будем настать, сколько не платили за кассиру.
[93:49-93:55] Павел Кочкин:  Да, у картеса окей, двуххолмарная квартира, товар камина, в род в центре гордов, в соскове живем, но это да, зачем боеносторонность приличная раз.
[93:55-93:59] Павел Кочкин:  Типа как ты думаешь, что перед продуктивной меня жить способностью?
[94:01-94:03] Павел Кочкин:  На порядок выше. Беспокойная прощаться.
[94:04-94:05] Павел Кочкин:  Откуда я беру этот курс?
[94:05-94:08] Павел Кочкин:  Способность финансовый поклон. Или сказать.
[94:09-94:27] Павел Кочкин:  текущее состояние текущее состояние молодец состояние очень сейчас языка сова максимально так е пропустил съел этот шаг сил и поставил себе финанс сделал свою цель по деньсован точка меня лечения как-то вырывает что-то влился захотел посмотреть Что-то в ресторан пойду, пора, впадаю, играю, падал, то очень надо.
[94:27-94:27] Павел Кочкин:  Вот,
[94:27-94:55] Павел Кочкин:  что-то, короче, вот знаешь, только начинаются какие-то вот такие темы, где-то, знаешь, на винке, где покатаюсь, если я кажется юпищиком чтобы себе ристря говорю надо больше заракатывать арватор опять что завтра повтор такой что-то повторнее чтобы книгалка замешать все разобрали то есть как бы как евгению каны где вот этот строится показать начинал Сначала физиологическая телефча реакция, проснаверенная на уровне химии этих уровня, потом в нее рисуем пусть финансовый ресурс, кто другой. Теперь дальше.
[94:55-94:57] Павел Кочкин:  Как в компании это делать?
[94:59-95:02] Павел Кочкин:  Еще раз задай и про компанию просто.
[95:02-95:06] Евгений Виноградов:  Особенно компания Fintec в финансовом секторе у них.
[95:06-95:11] Евгений Виноградов:  Очень сильно хуязаны тазовили на следующий год на полгод меня новых вычезателей.
[95:11-95:14] Евгений Виноградов:  Пока что-то просто течение провели на это от припцы.
[95:15-95:24] Павел Кочкин:  А мне кажется, Жень, только что отвечали на этот вопрос про компании крупности оцифровой. Да, да.
[95:24-95:27] Павел Кочкин:  И какой был ответ? Вспоминай. Ответ вспоминай.
[95:27-95:30] Евгений Виноградов:  На компанию это не распространять. Конечно.
[95:30-95:37] Павел Кочкин:  На компанию жестко спать, конечно, план спускай финансы концы максимально имеющих тостов на вхост и в грипп.
[95:36-95:42] Павел Кочкин:  Вот вам жесткий плод, вот вам ация, штатка, враф, таз, вот туру, которая кру построена, а там работает на айнаро-показатель.
[95:43-95:50] Павел Кочкин:  Их на максимально жестко контроль, капитан, карту стаешь сви камеру, черх, и все, тот, вот, и там люди будут работать люди, которые мыслят всеми категориями.
[95:50-95:56] Павел Кочкин:  Соответственно, если ты строишь вот эту робототехнику, то есть у тебя есть финастопистая и так на себя, или вообще далее вот какой-нибудь зал.
[95:56-96:03] Павел Кочкин:  Вот быть, используй той модель математики, которая необходимация для той структуры, которая ты строишь друга, не наш там делать фиш, надо тебе тусе адаптированные.
[96:03-96:04] Павел Кочкин:  Я еще тебе пример.
[96:04-96:05] Павел Кочкин:  Рекарда Кемлер в компании.
[96:05-96:08] Павел Кочкин:  Вот Рекордо Сенмлер в Бразилии. Семка.
[96:08-96:11] Павел Кочкин:  Это гардовский кейс, где делаем человека мои демонтированную компанию.
[96:11-96:12] Павел Кочкин:  Это ей паницы.
[96:13-96:19] Павел Кочкин:  Однажды видел, я не доготло там французской, я он для них делал меятие, и они меня попали, прокачивают личной пыткой.
[96:20-96:24] Павел Кочкин:  А когда увидел, я сейчас расписал в календаре, вот они менят.
[96:25-96:30] Павел Кочкин:  приглашенного на их крупнейшее корпоративное мероприятие, например, с какие-то перевозки пиками на весь мир.
[96:30-96:39] Павел Кочкин:  Я вызвал деревню, я говорю, кто этот придурок, который вызвал мне коропонякой Они мне говорят, вот он, вот ехал какой-то привистный управлять.
[96:39-96:42] Павел Кочкин:  Вот, я его вызываю, говорю, то вы занимаешься что-то, я говорю, что сейчас будет чат вообще.
[96:42-96:47] Павел Кочкин:  Ты котик на вызвал Ничкин, вот это там, а Кавушкина с двадцатилетним оститом человеку.
[96:47-96:50] Павел Кочкин:  Мягко говоря, да три часа, но сейчас просто вот так тут прынет этих людей.
[96:50-96:52] Павел Кочкин:  Говорю, вот она пошли, надо работать.
[96:52-96:56] Павел Кочкин:  О, жанешь, ему надо упать на Сайрес, а вот этот решит карает сейчас на авто точнее ехать в путь до места.
[96:56-96:57] Павел Кочкин:  Что ты будешь делать?
[97:00-97:14] Павел Кочкин:  меня такой смотрит он говорит смотрит ты можешь это сделать я говорю что ты просто мани был тебя будут если это разгреб я бы результат избавиться вот ну моем сейчас вступление чего вот три часа через при мне три часа ты выделил я прямо сейчас повесил Сейчас я прав, я ж кидам они практики, зале программ.
[97:15-97:17] Павел Кочкин:  Я говорю, прям вот сейчас все будет окажется. Отлично.
[97:18-97:19] Павел Кочкин:  Он такой сделал он это.
[97:20-97:22] Павел Кочкин:  Мы на английском говорим, но только он разбираешь меня такой, знает.
[97:22-97:23] Павел Кочкин:  Ну, тоже такой такой сделай.
[97:23-97:25] Павел Кочкин:  То есть я такой говорю, Сэй, а ты прям уж и не боишься?
[97:26-97:31] Павел Кочкин:  Он такой, подзывает человека из зала, говорит, выбери любого, пускай повода дойдет.
[97:31-97:33] Павел Кочкин:  Нам пойдет, ну давай вот я говорю.
[97:33-97:35] Павел Кочкин:  Вызывает, короче, по пацанам.
[97:35-97:39] Павел Кочкин:  Я говорю, сдайте, говорю, раз вы случайно вы сами себе, может быть, сели стать сэлд.
[97:39-97:41] Павел Кочкин:  Таргет у вас, колфанер распространение компания.
[97:41-97:44] Павел Кочкин:  Такой, он так, да, чайно шумах или группы.
[97:44-97:46] Павел Кочкин:  Малый, я такой, вау.
[97:46-97:49] Павел Кочкин:  Я говорю, а может быть, вы себе еще и выплаты сами забираете?
[97:49-97:50] Павел Кочкин:  И вам работаем время.
[97:50-97:54] Павел Кочкин:  Он такой, ну не настолько у нас, но у нас и дальше есть рассказ, как увет не устроены.
[97:54-98:04] Павел Кочкин:  И до меня медленно доход медленно, что будет вон, так это одна из тех компаний, в которой они продают тоже по Ориентирован на человека. Именно так.
[98:04-98:05] Павел Кочкин:  А на ты не есть просто.
[98:05-98:07] Павел Кочкин:  Они какой-то спортлистной одежды.
[98:07-98:10] Павел Кочкин:  Я вот поскольку не что мог прислечь жизнь и положить, что они ориентированы на человека.
[98:10-98:12] Павел Кочкин:  Ориентируют на человека.
[98:12-98:15] Павел Кочкин:  Я тогда говорю на эту пасма, говорю, ну охторный, какой красавец какой.
[98:15-98:19] Павел Кочкин:  Говорю, ну тогда бегись, говорю, забери сейчас это помады, май, при ничем сделал, знаешь?
[98:20-98:25] Павел Кочкин:  Выходит на сцену, на сцену берет микрофон и говорит, уважаемый друг, говорит, а сейчас перед себя будет выступать два кочки.
[98:26-98:26] Павел Кочкин:  Я
[98:26-98:34] Павел Кочкин:  пригласил для его, чтобы вы посыталшили свои мать, чтобы Свать цели, поэт обрелишь, ожигая тон, и пытали в себе ваши эскаланты, которые ошитавят в этой жизни восьмых завод.
[98:34-98:36] Павел Кочкин:  С нами или без нас?
[98:38-98:45] Павел Кочкин:  С Если вдруг, если вы увидели что-то интересное, что в комплексе не может быть полифание, или себя как увеличить свою реализуи, пожалуйста, сразу дистанцию это.
[98:45-98:48] Павел Кочкин:  Идите к вашему значительнику, идите к начальному супервизу.
[98:48-98:52] Павел Кочкин:  Рассказывайте, родите лучше для компрессии и пробуйте.
[98:52-98:54] Павел Кочкин:  Пожалуйста, оставайтесь.
[98:55-99:00] Павел Кочкин:  Ошибайтесь, что ошибка на вашем уровне.
[99:00-99:02] Павел Кочкин:  Для меня будет млекократно дешевле.
[99:02-99:04] Павел Кочкин:  Чешеб, если я ошибусь.
[99:06-99:09] Павел Кочкин:  Я заранее одобряю вашу незлюбутиву.
[99:10-99:13] Павел Кочкин:  Пожалуйста, под поклее, встречайте кочка, но вам Павел вам поможет.
[99:13-99:18] Павел Кочкин:  Как тебе руководитель? Руководитель. Просто охренеть!
[99:18-99:21] Павел Кочкин:  Аханя же, я, честно говоря, дал.
[99:21-99:25] Павел Кочкин:  Дальше я еще смотрю, что сейчас синхронные ряд с его очки кабинка, знаешь, такими.
[99:25-99:27] Павел Кочкин:  Сука на весь и это еще транслирует.
[99:30-99:34] Павел Кочкин:  Понимаешь, не только учат анипакой, это корм противную корпуру по культуру миру.
[99:35-99:38] Павел Кочкин:  У тебя такая компания, такая женщина.
[99:38-99:38] Павел Кочкин:  К сожалению, нет.
[99:39-99:40] Павел Кочкин:  Тогда гони кочки на вшук.
[99:40-99:41] Павел Кочкин:  Ни, ни в куши, не подпускай.
[99:41-99:44] Павел Кочкин:  Блять, ссылку не кайф, никому не доказывай. Рассказывай.
[99:44-99:46] Павел Кочкин:  Мы с тобой развалим там на разум все.
[99:46-99:47] Павел Кочкин:  Хрен ты же понимаешь.
[99:47-99:49] Евгений Виноградов:  Да-да, я поэтому да просил.
[99:49-99:51] Павел Кочкин:  Туго, все, тебе не пожелалось.
[99:51-99:56] Павел Кочкин:  Пока для тебя тебя приглашаю, я в эту тусовку нашу небольшую Денис будет сплотать.
[99:56-99:57] Павел Кочкин:  Я собираюсь тебя деньги давай за это.
[99:57-100:02] Павел Кочкин:  Индий, забрати внимание, но вот я тебе буду над работы кем.
[100:02-100:21] Павел Кочкин:  над личностью только над личностью на только над ждони не над жекими финтетскими компаниями иди дальше и ты будешь выходить туда и вы тратим ног в рол глазу голубо мы все заинтересованы занесу новый рынок Выдки, это команды, тебя ваши хорошие, да вода ты это только сики, а вот и я, это ты будешь мои улич толкать, терешь про деда мать.
[100:21-100:22] Павел Кочкин:  Знаете, что под розой под новым барки.
[100:22-100:24] Павел Кочкин:  И вон он вот он на оленях вон вообще бежит.
[100:24-100:30] Павел Кочкин:  Короче, детям с Пожалуйста, свои максимально в макси вот ритка не вообще пуски, без тени сильнее, веришь в сам нет мороз и большие подарки.
[100:30-100:39] Павел Кочкин:  Далек день борода, а силу украсть вот и вот то есть но внешний рынок, пожалуйста, весь инструмент сейчас Просто вот я просто совершенно другой ориентирован.
[100:39-100:45] Павел Кочкин:  Я речем про на то, чтобы нетерпение был заряжен, был силен, глубоко в контакте с собой компот полноценный молизовать.
[100:45-100:47] Павел Кочкин:  Собирай инструментарий, который ты дай, как у сейчас используй.
[100:47-100:49] Павел Кочкин:  В общем, без дошкоды с тобой возьмем.
[100:49-100:53] Павел Кочкин:  И без водой нас научат по смарчеству, идиагратул гантрисов.
[100:53-100:57] Павел Кочкин:  Вот это просто применять на фентипанию. Вот.
[100:57-101:08] Павел Кочкин:  И может и на самом верхнем уровне твой партнер, то есть там типа мюро человек, вот их зависи там на мастер-майн, их на самых силь, самых умных и на свободных, как и своего очередь, которые очень сильно крутых.
